reservoir_id,month,mean_fill_pct
27950,6,5.7
27950,7,6.55
27950,8,6.43
27950,9,6.08
27950,10,5.97
27955,2,20.95
27955,3,7.68
27955,4,6.94
27955,5,6.15
27955,6,6.48
27955,7,6.1
27955,8,6.74
27955,9,6.68
27955,10,4.9
27956,3,13.15
27956,4,2.84
27956,5,2.86
27956,6,1.28
27956,7,1.47
27956,8,1.9
27956,9,1.28
27956,10,2.04
27991,3,3.8
27991,4,1.01
27991,5,0.37
27991,6,0.1
27991,7,0.49
27991,8,0.16
27991,9,0.57
27991,10,0.23
27995,3,0.66
27995,4,6.98
27995,5,1.74
27995,6,0.74
27995,7,0.86
27995,8,1.11
27995,9,1.79
27995,10,1.71
27999,3,0.94
27999,4,1.04
27999,5,0.67
27999,6,0.9
27999,7,0.73
27999,8,0.8
27999,9,0.79
27999,10,0.74
28001,3,1.98
28001,4,4.39
28001,5,2.35
28001,6,0.76
28001,7,1.74
28001,8,1.48
28001,9,1.77
28001,10,0.8
28022,3,0.16
28022,4,1.48
28022,5,0.68
28022,6,0.22
28022,7,0.44
28022,8,0.34
28022,9,0.2
28022,10,0.0
28027,3,1.54
28027,4,12.35
28027,5,4.91
28027,6,2.04
28027,7,2.67
28027,8,2.66
28027,9,3.24
28027,10,1.15
28051,3,1.8
28051,4,1.85
28051,5,1.71
28051,6,1.2
28051,7,1.54
28051,8,1.35
28051,9,1.52
28051,10,1.36
28171,1,5.88
28171,2,5.62
28171,3,5.39
28171,4,6.11
28171,5,5.72
28171,6,3.18
28171,7,4.9
28171,8,4.82
28171,9,5.77
28171,10,3.22
28171,11,5.38
28171,12,5.66
28172,1,1.1
28172,2,0.55
28172,3,1.32
28172,4,1.45
28172,5,0.78
28172,6,0.55
28172,7,0.52
28172,8,0.57
28172,9,1.31
28172,10,1.66
28172,11,1.51
28172,12,1.5
28208,1,0.96
28208,2,0.77
28208,3,0.82
28208,4,0.86
28208,5,0.53
28208,6,0.85
28208,7,0.33
28208,8,1.77
28208,9,0.6
28208,10,0.43
28208,11,0.55
28208,12,0.35
28221,1,0.85
28221,2,0.89
28221,3,0.79
28221,4,0.67
28221,5,0.57
28221,6,0.4
28221,7,0.14
28221,8,0.53
28221,9,0.44
28221,10,0.05
28221,11,0.61
28221,12,0.96
28231,1,0.4
28231,2,0.2
28231,3,0.34
28231,4,0.19
28231,5,0.45
28231,6,0.16
28231,7,0.01
28231,8,0.24
28231,9,0.39
28231,10,0.24
28231,11,0.15
28231,12,0.16
28379,1,1.96
28379,2,2.75
28379,3,3.94
28379,4,0.66
28379,5,6.57
28379,6,1.77
28379,7,2.78
28379,8,1.36
28379,9,1.48
28379,10,2.6
28379,11,2.41
28379,12,3.64
28380,1,5.72
28380,2,5.06
28380,3,7.09
28380,4,1.4
28380,5,25.43
28380,6,8.12
28380,7,4.45
28380,8,2.95
28380,9,3.58
28380,10,4.87
28380,11,6.21
28380,12,6.96
28388,1,0.91
28388,2,1.03
28388,3,0.35
28388,4,8.49
28388,5,0.43
28388,6,0.7
28388,7,0.74
28388,8,0.83
28388,9,0.85
28388,10,1.12
28388,11,0.86
28388,12,0.94
28394,1,10.22
28394,2,6.28
28394,3,12.1
28394,4,28.25
28394,5,4.12
28394,6,8.48
28394,7,8.76
28394,8,8.12
28394,9,14.09
28394,10,13.28
28394,11,13.64
